datestats,countrystats,overall,attack,midfield,defense,bu_speed,bu_passing,bu_positioning,cc_crossing,cc_passing,cc_shooting,cc_positioning,aggression,pressure,avg_age
5/17/2018,France,84,83,85,82,35,30,Organised,53,24,35,Organised,47,47,25.65
2/22/2012,Croatia,78,78,78,74,59,44,Organised,74,39,61,Organised,61,61,26.64
