nationality,player,Rank,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
Australia,Robbie Kruse,106.0,Bochum,29.0,29(1),2558.0,7,5,3,,1.4,77.1,0.6,3,6.89
Australia,Massimo Luongo,15.0,Queens Park Rangers,25.0,38(1),3389.0,6,3,10,,1.7,71.6,2.6,4,7.32
Australia,Mark Milligan,,,,,,,,,,,,,,
Australia,Aaron Mooy,114.0,Huddersfield,27.0,34(2),3071.0,4,3,5,,0.8,79.5,0.9,,6.86
Australia,Tom Rogic,,,,,,,,,,,,,,
Australia,Daniel Arzani,,,,,,,,,,,,,,
Australia,Tim Cahill,,,,,,,,,,,,,,
Australia,Tomi Juric,,,,,,,,,,,,,,
Australia,Mathew Leckie,69.0,Hertha Berlin,27.0,19(7),1854.0,5,1,3,,0.9,70.9,3.7,3,6.96
Australia,Andrew Nabbout,,,,,,,,,,,,,,
Australia,Dimitri Petratos,,,,,,,,,,,,,,
Australia,Jamie Maclaren,,,,,,,,,,,,,,
Peru,Carlos Caceda,,,,,,,,,,,,,,
Peru,Jose Carvallo,,,,,,,,,,,,,,
Peru,Pedro Gallese,,,,,,,,,,,,,,
Peru,Luis Advincula,,,,,,,,,,,,,,
Peru,Pedro Aquino,,,,,,,,,,,,,,
Peru,Miguel Araujo,,,,,,,,,,,,,,
Peru,Andre Carrillo,214.0,Watford,26.0,16(12),1537.0,1,2,2,,0.9,76.6,0.5,1,6.62
Peru,Wilder Cartagena,,,,,,,,,,,,,,
Peru,Aldo Corzo,,,,,,,,,,,,,,
Peru,Christian Cueva,,,,,,,,,,,,,,
Peru,Jefferson Farfan,180.0,Lokomotiv Moscow,33.0,8(1),583.0,4,1,,,2.1,83.0,1.2,,7.02
Peru,Jefferson Farfan,7.0,Lokomotiv Moscow,33.0,22,1953.0,10,4,3,,2.3,82.4,1.4,2,7.26
Peru,Edison Flores,,,,,,,,,,,,,,
Peru,Paolo Hurtado,364.0,Vitoria de Guimaraes,27.0,5,386.0,2,1,2,,0.8,80.7,0.6,,6.75
Peru,Paolo Hurtado,83.0,Vitoria de Guimaraes,27.0,21(4),1762.0,11,5,5,,1.8,78.6,0.8,2,6.84
Peru,Nilson Loyola,,,,,,,,,,,,,,
Peru,Andy Polo,,,,,,,,,,,,,,
Peru,Christian Ramos,,,,,,,,,,,,,,
Peru,Alberto Rodriguez,,,,,,,,,,,,,,
Peru,Raul Ruidiaz,,,,,,,,,,,,,,
Peru,Anderson Santamaria,,,,,,,,,,,,,,
Peru,Renato Tapia,361.0,Feyenoord,22.0,4,330.0,,,,,,85.9,,,6.43
Peru,Miguel Trauco,,,,,,,,,,,,,,
Peru,Yoshimar Yotun,,,,,,,,,,,,,,
Peru,Paolo Guerrero,,,,,,,,,,,,,,
Denmark,Kasper Schmeichel,220.0,Leicester,31.0,33,2966.0,,,3,,,49.6,0.4,3,6.61
Denmark,Jonas Lossl,238.0,Huddersfield,29.0,38,3420.0,,1,1,,,56.4,0.4,1,6.57
Denmark,Frederik Ronow,,,,,,,,,,,,,,
Denmark,Simon Kjaer,123.0,Sevilla,29.0,18(2),1572.0,2,,3,,0.5,84.4,2.2,,6.82
Denmark,Simon Kjaer,182.0,Sevilla,29.0,6,540.0,1,,,,0.7,83.8,1.5,,6.86
Denmark,Andreas Christensen,138.0,Chelsea,22.0,23(4),2071.0,,,,,0.4,93.4,2.1,,6.8
Denmark,Andreas Christensen,354.0,Chelsea,22.0,5(1),454.0,,,,,0.3,94.7,1,,6.45
Denmark,Mathias Jorgensen,,,,,,,,,,,,,,
Denmark,Jannik Vestergaard,79.0,Borussia M.Gladbach,25.0,32,2880.0,3,,5,,0.8,85.4,3.2,1,6.93
Denmark,Henrik Dalsgaard,90.0,Brentford,28.0,29,2541.0,1,3,4,,0.7,72.0,3.1,2,6.98
Denmark,Jens Stryger,,,,,,,,,,,,,,
Denmark,Jonas Knudsen,100.0,Ipswich,25.0,42,3780.0,1,7,10,,0.6,66.5,3.1,2,6.96
Denmark,William Kvist,453.0,FC Copenhagen,33.0,6(1),500.0,,,1,,0.7,84.8,1.6,,6.65
Denmark,Thomas Delaney,37.0,Werder Bremen,26.0,31(1),2796.0,3,4,5,,1.8,71.9,3.7,3,7.06
Denmark,Lukas Lerager,87.0,Bordeaux,24.0,37,3286.0,3,1,8,,1.1,77.1,2.7,,6.94
Denmark,Lasse Schone,11.0,Ajax,32.0,27(3),2350.0,10,3,6,,1.9,87.0,1.9,2,7.45
Denmark,Christian Eriksen,11.0,Tottenham,26.0,37,3226.0,10,10,,,2.6,82.4,0.5,4,7.4
Denmark,Christian Eriksen,95.0,Tottenham,26.0,6,535.0,2,1,,,3.3,83.1,0.5,,7.08
Denmark,Michael Krohn-Dehli,,,,,,,,,,,,,,
Denmark,Pione Sisto,69.0,Celta Vigo,23.0,31(3),2535.0,5,9,2,,1.5,84.2,,,6.96
Denmark,Martin Braithwaite,,,,,,,,,,,,,,
Denmark,Andreas Cornelius,484.0,Atalanta,25.0,0(4),25.0,2,,,,1.3,66.7,0.8,,6.62
Denmark,Andreas Cornelius,232.0,Atalanta,25.0,8(15),928.0,3,1,,,1.4,67.4,2.4,1,6.52
Denmark,Viktor Fischer,,,,,,,,,,,,,,
Denmark,Yussuf Poulsen,504.0,RasenBallsport Leipzig,23.0,2(3),215.0,,1,1,,0.6,59.1,5.8,,6.59
Denmark,Yussuf Poulsen,187.0,RasenBallsport Leipzig,23.0,18(12),1662.0,4,2,1,,1.3,62.9,3.3,,6.68
Denmark,Yussuf Poulsen,315.0,RasenBallsport Leipzig,23.0,2(2),200.0,,1,1,,0.5,68.8,4,,6.55
Denmark,Nicolai Jorgensen,,,,,,,,,,,,,,
Denmark,Kasper Dolberg,160.0,Ajax,20.0,11(12),1143.0,6,,,,2,78.1,0.5,,6.69
Argentina,Nahuel Guzm,,,,,,,,,,,,,,
Iceland, Hannes Thor Halldorsson,,,,,,,,,,,,,,
Iceland,Runar Alex Runarsson,,,,,,,,,,,,,,
Iceland,Frederik Schram,,,,,,,,,,,,,,
Iceland,Kari Arnason,,,,,,,,,,,,,,
Iceland,Ari Freyr Skulason,,,,,,,,,,,,,,
Iceland,Birkir Mar Saevarsson,,,,,,,,,,,,,,
Iceland,Sverrir Ingi Ingason,38.0,FC Rostov,24.0,28,2479.0,3,,4,,0.8,76.6,1.7,4,7.03
Iceland,Hordur Magnusson,,,,,,,,,,,,,,
Iceland,Holmar Orn Eyjolfsson,,,,,,,,,,,,,,
Iceland,Ragnar Sigurdsson,,,,,,,,,,,,,,
Iceland,Johann Berg Gudmundsson,60.0,Burnley,27.0,32(3),2840.0,2,8,2,,1.5,73.7,1.2,,7.02
Iceland,Birkir Bjarnason,295.0,Aston Villa,30.0,11(14),1100.0,3,2,1,,1,82.8,1.1,,6.61
Iceland,Arnor Ingvi Traustason,,,,,,,,,,,,,,
Iceland,Emil Hallfredsson,265.0,Udinese,33.0,8(11),761.0,,,5,,0.1,88.5,0.6,,6.39
Iceland,Gylfi Sigurdsson,385.0,Everton,28.0,3(1),303.0,,2,1,,1.5,80.0,1,,6.72
Iceland,Gylfi Sigurdsson,102.0,Everton,28.0,25(2),2262.0,4,3,2,,1.4,74.9,0.7,1,6.88
Iceland,Olafur Ingi Skulason,249.0,Karabukspor,35.0,12(4),1128.0,1,,4,,0.3,83.5,1.1,,6.28
Iceland,Rurik Gislason,,,,,,,,,,,,,,
Iceland,Samuel Fridjonsson,,,,,,,,,,,,,,
Iceland,Aron Gunnarsson,76.0,Cardiff,29.0,17(3),1500.0,1,1,3,,0.8,65.4,1.3,1,7.02
Iceland,Alfred Finnbogason,25.0,Augsburg,29.0,22,1826.0,12,3,2,,2.3,71.6,0.8,3,7.11
Iceland,Bjorn Bergmann Sigurdarson,,,,,,,,,,,,,,
Iceland,Jon Dadi Bodvarsson,311.0,Reading,26.0,20(13),1766.0,7,1,2,,1.5,61.9,2.8,3,6.55
Iceland,Albert Gudmundsson,,,,,,,,,,,,,,
Croatia,Danijel Subasic,233.0,Monaco,33.0,34,2941.0,,,3,,,63.7,0.3,,6.57
Croatia,Lovre Kalinic,,,,,,,,,,,,,,
Croatia,Dominik Livakovic,,,,,,,,,,,,,,
Croatia,Vedran Corluka,,,,,,,,,,,,,,
Croatia,Domagoj Vida,175.0,Dynamo Kyiv,29.0,4,350.0,,,,,1.3,80.0,3,,7.03
Croatia,Ivan Strinic,,,,,,,,,,,,,,
Croatia,Dejan Lovren,68.0,Liverpool,28.0,24(5),2125.0,2,1,4,,0.5,88.5,3.6,2,6.99
Croatia,Dejan Lovren,132.0,Liverpool,28.0,12,1050.0,,1,2,,0.5,84.1,3.1,,7.0
Croatia,Sime Vrsaljko,743.0,Atletico Madrid,26.0,2(2),146.0,,,1,1,,63.8,1,,6.13
Croatia,Sime Vrsaljko,39.0,Atletico Madrid,26.0,19(2),1697.0,,4,7,,0.2,74.8,2.1,,7.09
Croatia,Josip Pivaric,362.0,Dynamo Kyiv,29.0,8,720.0,,,1,,0.6,74.9,1.8,,6.75
Croatia,Tin Jedvaj,,,,,,,,,,,,,,
Croatia,Duje Caleta-Car,297.0,Salzburg,21.0,13,1200.0,,2,5,,0.5,82.6,3.1,,6.86
Croatia,Luka Modric,15.0,Real Madrid,32.0,23(3),1976.0,1,6,3,,1.3,89.9,0.3,,7.29
Croatia,Luka Modric,121.0,Real Madrid,32.0,11,958.0,1,1,2,,0.8,89.9,0.2,,7.02
Croatia,Ivan Rakitic,34.0,Barcelona,30.0,31(4),2839.0,1,5,4,,0.8,90.3,0.7,,7.12
Croatia,Ivan Rakitic,151.0,Barcelona,30.0,8(2),758.0,1,,1,,0.5,91.0,0.5,1,6.95
Croatia,Mateo Kovacic,159.0,Real Madrid,24.0,10(11),989.0,,1,2,,0.4,93.7,,2,6.73
Croatia,Mateo Kovacic,345.0,Real Madrid,24.0,4(3),258.0,,1,2,,0.1,90.7,0.1,,6.47
Croatia,Milan Badelj,35.0,Fiorentina,29.0,27,2355.0,2,1,8,1,1.2,83.2,0.9,1,7.12
Croatia,Marcelo Brozovic,27.0,Inter,25.0,21(10),1924.0,4,9,9,,1.5,87.9,0.7,3,7.2
Croatia,Filip Bradaric,538.0,Rijeka,26.0,5,450.0,,1,2,,0.8,83.5,0.2,,6.56
Croatia,Mario Mandzukic,32.0,Juventus,32.0,5(1),457.0,4,,2,,2.5,67.1,2.8,2,7.37
Croatia,Mario Mandzukic,57.0,Juventus,32.0,27(5),2327.0,5,3,3,1,1.6,75.8,2.5,1,7.01
Croatia,Ivan Perisic,14.0,Inter,29.0,37,3316.0,11,9,4,,3.1,75.4,1.8,5,7.35
Croatia,Nikola Kalinic,655.0,AC Milan,30.0,1(5),184.0,,1,,,0.7,85.1,0.2,,6.36
Croatia,Nikola Kalinic,197.0,AC Milan,30.0,20(11),1813.0,6,3,3,,1.6,80.1,1.5,1,6.63
Croatia,Andrej Kramaric,653.0,Hoffenheim,26.0,4,360.0,,,2,,3.3,78.2,0.3,,6.37
Croatia,Andrej Kramaric,45.0,Hoffenheim,26.0,22(12),2222.0,13,6,1,,2.4,80.0,0.2,2,7.02
Croatia,Marko Pjaca,,,,,,,,,,,,,,
Croatia,Ante Rebic,65.0,Eintracht Frankfurt,24.0,21(4),1764.0,6,2,8,,1.8,56.9,1.4,1,6.96
Nigeria,Ikechukwu Ezenwa,,,,,,,,,,,,,,
Nigeria,Daniel Akpeyi,,,,,,,,,,,,,,
Nigeria,Francis Uzoho,,,,,,,,,,,,,,
Nigeria,William Troost-Ekong,165.0,Bursaspor,24.0,26(1),2286.0,2,,,1,0.7,81.5,2.1,,6.67
Nigeria,Leon Balogun,,,,,,,,,,,,,,
Nigeria,Kenneth Omeruo,53.0,Kasimpasa,24.0,26(2),2407.0,1,,4,,0.5,81.2,2.2,,7.02
Nigeria,Bryan Idowu,,,,,,,,,,,,,,
Nigeria,Chidozie Awaziem,188.0,Nantes,21.0,16(6),1510.0,1,1,2,1,0.6,76.5,1.4,1,6.7
Nigeria,Abdullahi Shehu,,,,,,,,,,,,,,
Nigeria,Elderson Echiejile,,,,,,,,,,,,,,
Nigeria,Tyronne Ebuehi,117.0,ADO Den Haag,22.0,28,2375.0,,2,1,1,0.2,79.2,1.3,1,6.83
Nigeria,John Obi Mikel,32.0,Tianjin Teda,31.0,11,990.0,1,2,4,,0.6,83.8,2,,7.17
Nigeria,Ogenyi Onazi,155.0,Trabzonspor,25.0,17(4),1305.0,2,1,5,,0.5,82.3,0.6,,6.7
Nigeria,John Ogu,400.0,Hapoel Beer Sheva,30.0,4,256.0,,,,,1,84.2,0.5,,6.71
Nigeria,Wilfred Ndidi,32.0,Leicester,21.0,33,2899.0,,3,6,2,1.2,76.1,3.5,2,7.14
Nigeria,Oghenekaro Etebo,109.0,Feirense,22.0,18,1620.0,4,1,5,,2,77.0,0.7,,6.78
Nigeria,Joel Obi,92.0,Torino,27.0,16(6),1201.0,5,2,3,,0.7,81.7,1,1,6.89
Nigeria,Odion Ighalo,36.0,Changchun Yatai,28.0,11,990.0,7,,3,,3.5,72.8,1,2,7.12
Nigeria,Ahmed Musa,645.0,CSKA Moscow,25.0,6,513.0,1,,2,,2.5,66.7,,,6.38
Nigeria,Victor Moses,93.0,Chelsea,27.0,25(3),2119.0,3,3,3,,1.3,76.6,1,1,6.9
Nigeria,Victor Moses,272.0,Chelsea,27.0,4,337.0,,,,,0.8,75.7,0.5,,6.65
Nigeria,Alex Iwobi,317.0,Arsenal,22.0,3(3),335.0,,1,,,1.3,87.3,0.2,,6.83
Nigeria,Alex Iwobi,103.0,Arsenal,22.0,22(4),1844.0,3,5,1,,1.7,86.6,0.1,,6.88
Nigeria,Kelechi Iheanacho,263.0,Leicester,21.0,7(14),827.0,3,3,2,,1.4,79.3,0.3,,6.48
Nigeria,Simeon Nwankwo,,,,,,,,,,,,,,
Brazil,Alisson,180.0,Roma,25.0,12,1080.0,,,,,,80.4,0.3,,6.86
Brazil,Alisson,62.0,Roma,25.0,37,3330.0,,,1,,,78.9,0.2,1,6.99
Brazil,Ederson,194.0,Manchester City,24.0,37,3197.0,,,1,,,85.3,0.3,1,6.68
Brazil,Ederson,210.0,Manchester City,24.0,9,810.0,,,1,,,86.0,0.1,,6.79
Brazil,Cassio,39.0,Corinthians,31.0,5,450.0,,,,,,60.9,0.4,,7.22
Brazil,Cassio,78.0,Rio Ave,37.0,29,2610.0,,,3,,,77.2,0.5,2,6.85
Brazil,Danilo,138.0,Braga,22.0,6,509.0,,,1,,1,76.8,1.3,,7.11
Brazil,Danilo,91.0,Manchester City,26.0,13(10),1342.0,3,2,2,,0.8,89.9,0.7,2,6.91
Brazil,Danilo,55.0,Braga,22.0,15(16),1537.0,4,3,6,,1.2,81.8,1.1,2,6.98
Brazil,Danilo,227.0,Manchester City,26.0,4(2),368.0,,,2,,0.5,91.1,,,6.76
Brazil,Danilo,165.0,Udinese,34.0,32,2778.0,1,,8,,0.5,78.9,2.3,2,6.72
Brazil,Fagner,,,,,,,,,,,,,,
Brazil,Marcelo,110.0,Lyon,31.0,10,900.0,1,,2,,0.2,85.0,3.9,,7.19
Brazil,Marcelo,44.0,Real Madrid,30.0,26(2),2262.0,2,6,3,1,1.2,84.6,0.3,1,7.07
Brazil,Marcelo,25.0,Lyon,31.0,35,3107.0,3,1,5,1,0.6,87.6,4,1,7.18
Brazil,Marcelo,69.0,Rio Ave,28.0,30,2621.0,,,10,1,0.3,82.3,2,1,6.88
Brazil,Marcelo,46.0,Real Madrid,30.0,11,958.0,3,4,1,,0.9,82.5,0.5,,7.29
Brazil,Filipe Luis,9.0,Atletico Madrid,32.0,19(1),1660.0,1,2,4,,0.3,83.4,0.9,2,7.45
Brazil,Filipe Luis,37.0,Atletico Madrid,32.0,6,540.0,,,1,,1,85.7,1,,7.34
Brazil,Thiago Silva,55.0,Paris Saint Germain,33.0,24(1),2117.0,1,,5,,0.4,96.1,1.9,,7.08
Brazil,Thiago Silva,124.0,Paris Saint Germain,33.0,6,522.0,,,,,0.3,94.9,1.5,,7.01
Brazil,Marquinhos,126.0,America MG,28.0,3(2),256.0,1,1,,,1.2,71.2,0.4,,6.88
Brazil,Marquinhos,97.0,Paris Saint Germain,24.0,25(1),2264.0,,2,1,,0.5,93.9,1.6,1,6.91
Brazil,Marquinhos,127.0,Paris Saint Germain,24.0,8,720.0,,1,1,,0.3,94.2,2,,7.01
Brazil,Miranda,91.0,Inter,33.0,31,2729.0,,,8,,0.3,87.6,1.9,,6.89
Brazil,Pedro Geromel,,,,,,,,,,,,,,
Brazil,Casemiro,5.0,Real Madrid,26.0,30,2601.0,5,3,8,,1.1,88.4,2.1,1,7.49
Brazil,Casemiro,34.0,Real Madrid,26.0,11(1),945.0,1,,2,,0.6,91.3,0.8,2,7.36
Brazil,Fernandinho,12.0,Chongqing Lifan,32.0,9,809.0,2,4,,,2.6,75.4,1.4,1,7.69
Brazil,Fernandinho,18.0,Chongqing Lifan,25.0,9,810.0,1,3,,,2.1,73.2,0.2,2,7.48
Brazil,Fernandinho,10.0,Manchester City,33.0,33(1),2885.0,5,3,7,,1.4,90.1,2.8,1,7.44
Brazil,Fernandinho,150.0,Manchester City,33.0,8,682.0,,,2,,1,89.9,2.6,,6.96
Brazil,Paulinho,534.0,Braga,25.0,6(1),521.0,,1,2,,1.3,67.0,1.4,,6.56
Brazil,Paulinho,99.0,Barcelona,29.0,21(13),1941.0,9,2,2,,1.3,87.8,0.9,,6.87
Brazil,Paulinho,36.0,Portimonense,23.0,18(1),1570.0,2,5,3,,1.8,81.9,0.1,1,7.15
Brazil,Paulinho,42.0,Braga,25.0,22(8),2123.0,13,3,2,,2.3,68.1,1.5,4,7.09
Brazil,Paulinho,162.0,Chaves,26.0,33,2960.0,,3,7,,0.6,81.1,0.6,,6.63
Brazil,Paulinho,332.0,Barcelona,29.0,4(5),402.0,,,1,,1.3,92.2,0.7,,6.5
Brazil,Fred,55.0,Shakhtar Donetsk,25.0,8,720.0,1,1,2,,1.6,85.9,0.1,2,7.25
Brazil,Renato Augusto,3.0,Beijing Guoan,30.0,9,810.0,2,5,1,,1.6,81.7,0.3,4,8.15
Brazil,Philippe Coutinho,,,,,,,,,,,,,,
Brazil,Willian,32.0,Palmeiras,31.0,6(3),550.0,6,,1,,2.9,80.0,,2,7.27
Brazil,Willian,66.0,Chelsea,29.0,20(16),1883.0,6,7,1,,1.5,80.2,0.3,4,7.01
Brazil,Willian,29.0,Chelsea,29.0,4(4),429.0,3,1,1,,1.8,72.5,0.3,3,7.39
Brazil,Douglas Costa,154.0,Juventus,27.0,8(2),719.0,,1,1,,0.6,80.0,0.2,,6.94
Brazil,Douglas Costa,7.0,Juventus,27.0,18(13),1793.0,4,12,1,,1.2,84.0,0.2,4,7.45
Brazil,Neymar,1.0,Paris Saint Germain,26.0,20,1788.0,19,13,4,1,4.5,79.6,0.2,12,8.95
Brazil,Neymar,1.0,Paris Saint Germain,26.0,7,630.0,6,3,2,,4,77.9,,4,9.11
Brazil,Taison,155.0,Shakhtar Donetsk,30.0,8,720.0,1,,2,,2.1,84.8,0.4,,6.94
Brazil,Gabriel Jesus,54.0,Manchester City,21.0,19(10),1673.0,13,3,6,,1.9,79.7,0.7,1,7.05
Brazil,Gabriel Jesus,195.0,Manchester City,21.0,7(2),618.0,4,,2,,1.2,78.0,0.6,,6.81
Brazil,Roberto Firmino,12.0,Liverpool,26.0,32(5),2778.0,15,7,1,,2.3,72.6,1.2,3,7.39
Brazil,Roberto Firmino,7.0,Liverpool,26.0,13,1056.0,10,7,2,,3.2,74.6,2.4,1,7.98
Switzerland,Roman Buerki,,,,,,,,,,,,,,
Switzerland,Yvon Mvogo,,,,,,,,,,,,,,
Switzerland,Yann Sommer,130.0,Borussia M.Gladbach,29.0,30,2627.0,,,1,,,69.9,0.3,,6.79
Switzerland,Manuel Akanji,64.0,FC Basel 1893,22.0,6,540.0,,1,2,,0.2,81.1,2.5,1,7.2
Switzerland,Johan Djourou,133.0,Antalyaspor,31.0,17(1),1515.0,1,,3,,0.2,88.7,1.9,,6.77
Switzerland,Nico Elvedi,87.0,Borussia M.Gladbach,21.0,33,2916.0,2,2,6,,0.5,83.5,2.8,,6.92
Switzerland,Michael Lang,59.0,FC Basel 1893,27.0,8,720.0,3,1,1,,1,68.8,0.9,1,7.23
Switzerland,Stephan Lichtsteiner,217.0,Juventus,34.0,21(6),1715.0,,2,6,,0.1,82.2,0.9,,6.59
Switzerland,Jacques-Francois Moubandje,,,,,,,,,,,,,,
Switzerland,Ricardo Rodriguez,151.0,AC Milan,25.0,6(1),545.0,2,2,,,0.7,89.3,2,1,7.08
Switzerland,Ricardo Rodriguez,173.0,AC Milan,25.0,34,3006.0,1,,3,1,0.9,87.6,1,,6.7
Switzerland,Fabian Schaer,,,,,,,,,,,,,,
Switzerland,Valon Behrami,140.0,Udinese,33.0,18(2),1407.0,1,1,5,,0.5,82.3,0.9,,6.77
Switzerland,Blerim Dzemaili,,,,,,,,,,,,,,
Switzerland,Gelson Fernandes,221.0,Eintracht Frankfurt,31.0,12(7),1036.0,,,4,,0.1,81.7,0.4,,6.56
Switzerland,Remo Freuler,18.0,Atalanta,26.0,8,720.0,1,1,1,,1,87.8,1.3,,7.58
Switzerland,Remo Freuler,44.0,Atalanta,26.0,33(2),3006.0,5,3,4,1,1.3,88.1,0.8,3,7.08
Switzerland,Xherdan Shaqiri,110.0,Stoke,26.0,36,3049.0,8,7,5,,1.9,79.5,0.1,2,6.87
Switzerland,Granit Xhaka,31.0,Arsenal,25.0,5(1),495.0,1,,1,,1.2,91.2,1.5,,7.47
Switzerland,Granit Xhaka,62.0,Arsenal,25.0,37(1),3266.0,1,7,10,,1.7,86.9,1.3,,7.02
Switzerland,Steven Zuber,585.0,Hoffenheim,26.0,3(1),233.0,,,,,1,82.3,0.3,,6.49
Switzerland,Steven Zuber,173.0,Hoffenheim,26.0,17(3),1441.0,1,2,2,,0.8,83.4,0.3,,6.7
Switzerland,Denis Zakaria,160.0,Borussia M.Gladbach,21.0,29(1),2308.0,2,1,11,,0.7,89.3,0.6,,6.73
Switzerland,Josip Drmic,,,,,,,,,,,,,,
Switzerland,Breel Embolo,242.0,Schalke 04,21.0,9(12),916.0,3,,4,,0.9,74.3,0.8,,6.49
Switzerland,Mario Gavranovic,82.0,Rijeka,28.0,4,311.0,3,,2,,1,61.7,1,1,7.24
Switzerland,Haris Seferovic,187.0,Benfica,26.0,9(11),832.0,4,2,1,,1.5,72.5,0.5,,6.54
Switzerland,Haris Seferovic,405.0,Benfica,26.0,2(2),219.0,1,,1,,2,74.0,1,,6.31
Costa Rica,Keylor Navas,75.0,Real Madrid,31.0,27,2430.0,,,1,,,76.0,0.1,1,6.94
Costa Rica,Keylor Navas,178.0,Real Madrid,31.0,11,990.0,,,,,,65.2,0.4,1,6.86
Costa Rica,Patrick Pemberton,,,,,,,,,,,,,,
Costa Rica,Leonel Moreira,,,,,,,,,,,,,,
Costa Rica,Cristian Gamboa,,,,,,,,,,,,,,
Costa Rica,Ian Smith,,,,,,,,,,,,,,
Costa Rica,Ronald Matarrita,267.0,New York City FC,23.0,4(5),341.0,1,,1,,0.7,81.6,0.1,,6.43
Costa Rica,Bryan Oviedo,73.0,Sunderland,28.0,31(3),2605.0,2,4,9,,0.7,73.1,0.7,3,7.03
Costa Rica,Oscar Duarte,,,,,,,,,,,,,,
Costa Rica,Giancarlo Gonzalez,200.0,Bologna,30.0,22,1858.0,,,4,2,,80.6,2.4,,6.63
Costa Rica,Francisco Calvo,169.0,Minnesota United,25.0,12,1080.0,,,4,,0.8,83.1,2.6,,6.78
Costa Rica,Kendall Waston,164.0,Vancouver Whitecaps,30.0,13,1093.0,1,1,4,1,1.4,77.7,2.8,1,6.79
Costa Rica,Johnny Acosta,,,,,,,,,,,,,,
Costa Rica,David Guzman,,,,,,,,,,,,,,
Costa Rica,Yeltsin Tejeda,,,,,,,,,,,,,,
Costa Rica,Celso Borges,96.0,Deportivo La Coruna,30.0,26(6),2307.0,3,3,3,1,1,78.1,3.7,1,6.89
Costa Rica,Randall Azofeifa,,,,,,,,,,,,,,
Costa Rica,Rodney Wallace,263.0,New York City FC,29.0,4(4),419.0,,1,1,,1.1,78.6,0.8,,6.46
Costa Rica,Bryan Ruiz,187.0,Sporting CP,32.0,6,488.0,,1,1,,1.7,84.4,0.3,,7.01
Costa Rica,Bryan Ruiz,126.0,Sporting CP,32.0,11(9),1015.0,2,1,2,,0.8,82.1,0.8,1,6.73
Costa Rica,Daniel Colindres,,,,,,,,,,,,,,
Costa Rica,Christian Bolanos,,,,,,,,,,,,,,
Costa Rica,Johan Venegas,,,,,,,,,,,,,,
Costa Rica,Joel Campbell,,,,,,,,,,,,,,
Costa Rica,Marco Urena,,,,,,,,,,,,,,
Serbia,Vladimir Stojkovic,366.0,Partizan Belgrade,34.0,8,720.0,,,,,,44.4,0.9,,6.75
Serbia,Predrag Rajkovic,675.0,Maccabi Tel Aviv,22.0,6,540.0,,,,,,64.0,0.3,1,6.33
Serbia,Marko Dmitrovic,239.0,Eibar,26.0,36,3240.0,,,1,,,45.8,0.4,,6.54
Serbia,Aleksandar Kolarov,40.0,Roma,32.0,12,1080.0,1,3,1,,1.3,80.3,1.5,,7.32
Serbia,Aleksandar Kolarov,4.0,Roma,32.0,34(1),3061.0,2,8,3,,1.8,81.2,1.5,6,7.52
Serbia,Antonio Rukavina,,,,,,,,,,,,,,
Serbia,Milan Rodic,201.0,FK Crvena Zvezda,27.0,6,530.0,,1,1,1,0.8,73.2,3.2,1,7.0
Serbia,Branislav Ivanovic,40.0,Zenit St. Petersburg,34.0,7,615.0,3,2,,,0.7,81.8,1.6,1,7.42
Serbia,Branislav Ivanovic,33.0,Zenit St. Petersburg,34.0,27,2358.0,2,1,1,,0.9,82.2,2.2,2,7.06
Serbia,Uros Spajic,313.0,Anderlecht,25.0,5,363.0,,,1,,0.2,84.4,1.2,,6.55
Serbia,Milos Veljkovic,194.0,Werder Bremen,22.0,30,2656.0,1,,2,,0.2,77.5,2,,6.64
Serbia,Dusko Tosic,71.0,Besiktas,33.0,25,2174.0,5,1,7,3,0.5,83.0,2.5,2,6.94
Serbia,Dusko Tosic,135.0,Besiktas,33.0,6(1),508.0,,,2,,0.3,71.4,1.6,,6.99
Serbia,Nikola Milenkovic,,,,,,,,,,,,,,
Serbia,Nemanja Matic,28.0,Manchester United,29.0,35(1),3119.0,1,1,6,,0.5,87.7,1.6,,7.2
Serbia,Nemanja Matic,45.0,Manchester United,29.0,6(1),564.0,,,,,0.4,89.2,1.4,1,7.29
Serbia,Luka Milivojevic,64.0,Crystal Palace,27.0,35(1),3082.0,10,1,8,,1.2,80.2,1.4,1,7.01
Serbia,Marko Grujic,,,,,,,,,,,,,,
Serbia,Dusan Tadic,150.0,Southampton,29.0,34(2),2813.0,6,3,4,,1.1,74.8,0.2,2,6.78
Serbia,Andrija Zivkovic,27.0,Benfica,21.0,17(4),1543.0,3,4,4,1,1.4,82.2,0.2,3,7.22
Serbia,Andrija Zivkovic,261.0,Benfica,21.0,3(2),292.0,,1,1,,1.4,82.9,0.2,1,6.67
Serbia,Filip Kostic,183.0,Hamburger SV,25.0,27(3),2413.0,5,1,2,,2.2,64.6,1,2,6.68
Serbia,Nemanja Radonjic,307.0,FK Crvena Zvezda,22.0,6,490.0,1,,,,2.5,65.3,0.3,,6.84
Serbia,Sergej Milinkovic-Savic,126.0,Lazio,23.0,5(3),525.0,2,3,3,,1.6,74.1,2.4,1,7.15
Serbia,Sergej Milinkovic-Savic,12.0,Lazio,23.0,33(2),2850.0,12,3,8,,2.6,79.9,2.9,7,7.39
