url,date,game,stadium,venue,home,away,home_result,away_result,home_attempts,away_attempts,home_on-target,away_on-target,home_off-target,away_off-target,home_blocked,away_blocked,home_woodwork,away_woodwork,home_corners,away_corners,home_offsides,away_offsides,home_passes,away_passes,home_passes_completed,away_passes_completed,home_distance_covered,away_distance_covered,home_balls_recovered,away_balls_recovered,home_tackles,away_tackles,home_blocks,away_blocks,home_clearances,away_clearances,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_card_leading_to_red_card,away_second_yellow_card_leading_to_red_card,home_fouls_committed,away_fouls_committed,home_ball_possession,away_ball_possession,home_pass_accuracy,away_pass_accuracy
/worldcup/matches/match/300331553/,2018-06-28T02:00:00.000Z,Group H,Samara Arena,Samara,Senegal,Colombia,0,1,8,4,3,2,4,1,1,1,0,0,1 ,3 ,3 ,3 ,281,431,219,359,97 km,100 km,55 ,34 ,4,11,1,1,26,16,1 ,1 ,0,0,0,0,15,15,43%,57%,78%,83%
/worldcup/matches/match/300331520/,2018-06-28T06:00:00.000Z,Group G,Mordovia Arena,Saransk,Panama,Tunisia,1,2,9,15,4,7,4,4,1,4,0,0,0 ,6 ,4 ,1 ,284,626,220,546,102 km,107 km,36 ,43 ,9,9,4,1,33,15,3 ,3 ,0,0,0,0,18,19,36%,64%,77%,87%
/worldcup/matches/match/300340182/,2018-06-28T06:00:00.000Z,Group G,Kaliningrad Stadium,Kaliningrad,England,Belgium,0,1,13,15,1,4,7,4,5,7,0,0,7 ,2 ,3 ,1 ,484,556,424,490,109 km,106 km,32 ,32 ,13,12,7,5,10,24,0 ,2 ,0,0,0,0,11,14,48%,52%,88%,88%
/worldcup/matches/match/300331537/,2018-06-30T02:00:00.000Z,Round of 16,Kazan Arena,Kazan,France,Argentina,4,3,9,9,4,4,4,1,1,4,1,0,0 ,4 ,0 ,1 ,351,547,295,471,97 km,96 km,35 ,28 ,12,22,4,1,20,10,3 ,5 ,0,0,0,0,21,15,41%,59%,84%,86%
/worldcup/matches/match/300331544/,2018-06-30T06:00:00.000Z,Round of 16,Fisht Stadium,Sochi,Uruguay,Portugal,2,1,6,20,3,5,2,7,1,8,0,0,2 ,10 ,0 ,1 ,268,584,187,489,106 km,107 km,40 ,41 ,19,10,8,1,34,17,0 ,1 ,0,0,0,0,13,13,39%,61%,70%,84%
/worldcup/matches/match/300331517/,2018-07-01T02:00:00.000Z,Round of 16,Luzhniki Stadium,Moscow,Spain,Russia,1,1,25,6,9,1,6,3,10,2,0,0,6 ,5 ,1 ,1 ,1137,284,1031,204,137 km,146 km,42 ,43 ,7,16,2,10,9,47,1 ,2 ,0,0,0,0,5,19,75%,25%,91%,72%
/worldcup/matches/match/300331498/,2018-07-01T06:00:00.000Z,Round of 16,Nizhny Novgorod Stadium,Nizhny Novgorod,Croatia,Denmark,1,1,22,15,7,3,8,10,7,2,0,1,5 ,4 ,2 ,0 ,625,538,506,425,132 km,135 km,54 ,47 ,9,15,2,7,36,29,0 ,1 ,0,0,0,0,5,19,54%,46%,81%,79%
/worldcup/matches/match/300331535/,2018-07-02T02:00:00.000Z,Round of 16,Samara Arena,Samara,Brazil,Mexico,2,0,21,13,10,1,7,4,4,8,0,0,8 ,7 ,0 ,2 ,398,424,330,362,92 km,89 km,38 ,34 ,10,12,8,4,20,23,2 ,4 ,0,0,0,0,6,18,47%,53%,83%,85%
/worldcup/matches/match/300331551/,2018-07-02T06:00:00.000Z,Round of 16,Rostov Arena,Rostov-On-Don,Belgium,Japan,3,2,24,11,8,4,10,4,6,3,1,0,10 ,6 ,1 ,1 ,621,453,540,374,108 km,109 km,28 ,40 ,2,8,3,6,12,39,0 ,1 ,0,0,0,0,13,9,56%,44%,87%,83%
/worldcup/matches/match/300331514/,2018-07-03T02:00:00.000Z,Round of 16,Saint Petersburg Stadium,St. Petersburg,Sweden,Switzerland,1,0,12,18,3,4,6,5,3,9,0,0,3 ,11 ,1 ,0 ,271,599,199,501,105 km,103 km,47 ,27 ,3,2,9,3,33,15,1 ,2 ,0,1,0,0,11,13,37%,63%,73%,84%
/worldcup/matches/match/300331542/,2018-07-03T06:00:00.000Z,Round of 16,Spartak Stadium,Moscow,Colombia,England,1,1,14,16,4,2,7,9,3,5,0,0,2 ,7 ,1 ,2 ,516,571,405,471,136 km,143 km,59 ,59 ,17,6,5,3,39,27,6 ,2 ,0,0,0,0,23,13,49%,51%,78%,82%
/worldcup/matches/match/300331543/,2018-07-06T02:00:00.000Z,Quarter-finals,Nizhny Novgorod Stadium,Nizhny Novgorod,Uruguay,France,0,2,11,11,4,2,6,7,1,2,0,0,4 ,3 ,0 ,0 ,322,524,215,427,103 km,99 km,45 ,48 ,14,7,2,1,21,51,2 ,2 ,0,0,0,0,17,15,42%,58%,67%,81%
/worldcup/matches/match/300331538/,2018-07-06T06:00:00.000Z,Quarter-finals,Kazan Arena,Kazan,Brazil,Belgium,1,2,26,8,9,3,7,3,10,2,1,0,8 ,4 ,1 ,0 ,557,370,493,307,104 km,105 km,41 ,35 ,6,7,2,10,7,41,2 ,2 ,0,0,0,0,14,16,57%,43%,89%,83%
/worldcup/matches/match/300331541/,2018-07-07T02:00:00.000Z,Quarter-finals,Samara Arena,Samara,Sweden,England,0,2,7,12,3,2,3,4,1,6,0,0,1 ,6 ,2 ,1 ,379,525,280,420,107 km,110 km,36 ,47 ,5,3,6,1,37,22,2 ,1 ,0,0,0,0,10,7,43%,57%,74%,80%
/worldcup/matches/match/300331504/,2018-07-07T06:00:00.000Z,Quarter-finals,Fisht Stadium,Sochi,Russia,Croatia,2,2,13,17,7,3,4,10,2,4,0,1,6 ,8 ,1 ,0 ,399,753,276,615,148 km,139 km,63 ,58 ,19,10,4,2,43,27,1 ,4 ,0,0,0,0,25,18,38%,62%,69%,82%
